ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,ILID,Synergist
4912,Barbell Incline Row,Strength,Back,Barbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Minor , Tibialis Anterior, Trapezius Middle Fibers, Trapezius Upper Fibers ",0032,"Brachialis, Brachioradialis, Pectoralis Major Sternal Head"
5112,Barbell Jefferson Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps",0033,"Adductor Magnus, Soleus"
5212,Barbell JM-Bench Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,0034,"Deltoid Anterior, Pectoralis Major Sternal Head"
5312,Barbell Jump Squat,Aerobic,Plyometrics,Barbell,Male,"Gluteus Maximus, Quadriceps",0035,"Adductor Magnus, Gastrocnemius, Soleus"
5412,Barbell Lunge,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps",0036,"Adductor Magnus, Soleus"
5512,Barbell Lying Close-grip Press,Strength,Upper Arms,Barbell,Male,Triceps Brachii,0037,"Deltoid Anterior, Pectoralis Major Sternal Head"
5712,Barbell Lying extension,Strength,Upper Arms,Barbell,Male,Triceps Brachii,0038,
6012,Barbell Lying Triceps Extension Skull Crusher,Strength,Upper Arms,Barbell,Male,Triceps Brachii,0039,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head"
6412,Barbell One Arm Bent over Row,Strength,Back,Barbell,Male,,0040,
6612,Barbell One Arm Side Deadlift,Strength,"Hips, Thighs",Barbell,Male,"Gluteus Maximus, Quadriceps",0041,"Adductor Magnus, Soleus"
6812,Barbell One Leg Squat,Strength,Thighs,Barbell,Male,Quadriceps,0042,"Adductor Magnus, Gluteus Maximus, Soleus"
6912,Barbell Overhead Squat,Strength,Thighs,Barbell,Male,Quadriceps,0043,"Adductor Magnus, Gluteus Maximus, Soleus"
7012,Barbell Preacher Curl,Strength,Upper Arms,Barbell,Male,Brachialis,0044,"Biceps Brachii, Brachioradialis"
7212,Barbell Prone Incline Curl,Strength,Upper Arms,Barbell,Male,Brachialis,0045,"Biceps Brachii, Brachioradialis"
7412,Barbell Rack Pull,Strength,Hips,Barbell,Male,"Erector Spinae, Gluteus Maximus",0046,"Adductor Magnus, Hamstrings, Quadriceps, Soleus"
7512,Barbell Rear Delt Raise,Strength,Shoulders,Barbell,Male,Deltoid Posterior ,0047,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Lateral, Levator Scapulae, Trapezius Upper Fibers, Wrist Flexors"
7612,Barbell Rear Delt Row,Strength,Shoulders,Barbell,Male,Deltoid Posterior ,0048,"Brachialis, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
